Year,STATE,RESIDENTIAL - Revenues (Thousand Dollars),RESIDENTIAL - Sales (Megawatthours),RESIDENTIAL - Customers (Count),RESIDENTIAL - Price (Cents/kWh),COMMERCIAL - Revenues (Thousand Dollars),COMMERCIAL - Sales (Megawatthours),COMMERCIAL - Customers (Count),COMMERCIAL - Price (Cents/kWh),INDUSTRIAL - Revenues (Thousand Dollars),INDUSTRIAL - Sales (Megawatthours),INDUSTRIAL - Customers (Count),INDUSTRIAL - Price (Cents/kWh),TRANSPORTATION - Revenues (Thousand Dollars),TRANSPORTATION - Sales (Megawatthours),TRANSPORTATION - Customers (Count),TRANSPORTATION - Price (Cents/kWh),TOTAL - Revenues (Thousand Dollars),TOTAL - Sales (Megawatthours),TOTAL - Customers (Count),TOTAL - Price (Cents/kWh)
2024,AK,513968,2070594,298397,24.82,561566,2603674,57009,21.57,264999,1372235,1191,19.31,0,0,0,0.0,1340533,6046503,356597,22.17
2024,AL,4993058,32899071,2398172,15.18,3118220,22861620,389925,13.64,2303895,31762241,7246,7.25,0,0,0,0.0,10415174,87522932,2795343,11.9
2024,AR,2288691,18580638,1476944,12.32,1206780,11789053,207035,10.24,1290759,19525858,36772,6.61,35,263,2,13.23,4786265,49895812,1720753,9.59
2024,AZ,6027534,40434931,3134733,14.91,4415075,36100156,348423,12.23,1129681,14297880,7555,7.9,1130,10321,2,10.95,11573420,90843288,3490713,12.74
2024,CA,27443697,85850538,14217180,31.97,29399925,115125595,1777305,25.54,9477808,44025912,146327,21.53,120098,715100,13,16.79,66441529,245717145,16140825,27.04
2024,CO,3086849,20693690,2557732,14.92,2479641,21171639,405693,11.71,1283984,14891887,14750,8.62,8280,85688,1,9.66,6858754,56842904,2978176,12.07
2024,CT,3720210,12941903,1552746,28.75,2473628,11662707,156818,21.21,437595,2555605,3864,17.12,33962,191140,3,17.77,6665395,27351355,1713431,24.37
2024,DC,433140,2445805,318780,17.71,1227670,7193294,27521,17.07,20255,187468,1,10.8,30560,316348,3,9.66,1711625,10142915,346305,16.88
2024,DE,857254,5174514,473508,16.57,522352,4282220,60653,12.2,162761,1917182,1169,8.49,0,0,0,0.0,1542367,11373916,535330,13.56
2024,FL,19561174,138370720,10443373,14.14,10903073,99197472,1309027,10.99,1483603,17457348,26610,8.5,7598,69918,2,10.87,31955447,255095458,11779012,12.53
2024,GA,8740026,62062953,4815501,14.08,5994967,55172683,619171,10.87,2352084,32616660,24336,7.21,11591,151669,1,7.64,17098669,150003965,5459009,11.4
2024,HI,1136578,2651594,446512,42.86,1080617,2830166,59655,38.18,1184407,3470374,821,34.13,0,0,0,0.0,3401602,8952134,506988,38.0
2024,IA,1939175,14468850,1448818,13.4,1309887,12814989,251716,10.22,1881132,27646583,9477,6.8,0,0,0,0.0,5130194,54930422,1710011,9.34
2024,ID,1132688,9832269,868141,11.52,638525,6963670,123982,9.17,736518,9573616,29658,7.69,0,0,0,0.0,2507732,26369555,1021781,9.51
2024,IL,7117529,44850719,5392477,15.87,5344924,45240214,638510,11.81,3767818,42693932,5686,8.83,34314,442042,3,7.76,16264585,133226907,6036676,12.21
2024,IN,4879873,33048641,3056216,14.77,2944084,23663900,374858,12.44,3461231,42489190,19345,8.15,2201,17876,1,12.31,11287390,99219607,3450420,11.38
2024,KS,1958284,13839989,1317095,14.15,1767254,15790720,245169,11.19,898942,11627501,23963,7.73,0,0,0,0.0,4624480,41258210,1586227,11.21
