Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2014,AK,"Combined Heat and Power, Electric Power",All Sources,3.0,1.0,27.5,28.0
2014,AK,"Combined Heat and Power, Electric Power",Coal,3.0,1.0,27.5,28.0
2014,AK,Commercial Power,All Sources,23.0,4.0,75.0,60.5
2014,AK,Commercial Power,Coal,8.0,2.0,38.0,29.1
2014,AK,Commercial Power,Other Biomass,5.0,1.0,11.5,7.0
2014,AK,Commercial Power,Petroleum,10.0,3.0,25.5,24.4
2014,AK,"Electric Generators, Electric Utilities",All Sources,456.0,121.0,2534.6,2312.8
2014,AK,"Electric Generators, Electric Utilities",Coal,5.0,2.0,48.0,49.0
2014,AK,"Electric Generators, Electric Utilities",Hydroelectric,56.0,28.0,440.4,435.7
2014,AK,"Electric Generators, Electric Utilities",Natural Gas,46.0,12.0,1212.1,1082.1
2014,AK,"Electric Generators, Electric Utilities",Other,3.0,3.0,70.0,67.0
2014,AK,"Electric Generators, Electric Utilities",Petroleum,322.0,84.0,711.3,638.9
2014,AK,"Electric Generators, Electric Utilities",Wind,24.0,4.0,52.8,40.1
2014,AK,"Electric Generators, Independent Power Producers",All Sources,4.0,2.0,19.9,19.9
2014,AK,"Electric Generators, Independent Power Producers",Wind,4.0,2.0,19.9,19.9
2014,AK,Industrial Power,All Sources,18.0,4.0,45.2,43.0
2014,AK,Industrial Power,Natural Gas,7.0,2.0,21.1,20.9
2014,AK,Industrial Power,Petroleum,11.0,2.0,24.1,22.1
2014,AK,Total Electric Power Industry,All Sources,504.0,132.0,2702.2,2464.2
2014,AK,Total Electric Power Industry,Coal,16.0,5.0,113.5,106.1
2014,AK,Total Electric Power Industry,Hydroelectric,56.0,28.0,440.4,435.7
2014,AK,Total Electric Power Industry,Natural Gas,53.0,14.0,1233.2,1103.0
2014,AK,Total Electric Power Industry,Other,3.0,3.0,70.0,67.0
2014,AK,Total Electric Power Industry,Other Biomass,5.0,1.0,11.5,7.0
2014,AK,Total Electric Power Industry,Petroleum,343.0,89.0,760.9,685.4
2014,AK,Total Electric Power Industry,Wind,28.0,6.0,72.7,60.0
2014,AL,"Combined Heat and Power, Electric Power",All Sources,6.0,2.0,996.7,838.3
2014,AL,"Combined Heat and Power, Electric Power",Natural Gas,4.0,1.0,900.0,749.0
2014,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,2.0,1.0,96.7,89.3
2014,AL,"Electric Generators, Electric Utilities",All Sources,191.0,43.0,24602.8,23050.3
2014,AL,"Electric Generators, Electric Utilities",Coal,33.0,9.0,11741.6,10746.4
2014,AL,"Electric Generators, Electric Utilities",Hydroelectric,103.0,24.0,3319.3,3271.0
2014,AL,"Electric Generators, Electric Utilities",Natural Gas,43.0,9.0,4232.3,3932.9
2014,AL,"Electric Generators, Electric Utilities",Nuclear,5.0,2.0,5270.4,5066.4
2014,AL,"Electric Generators, Electric Utilities",Petroleum,7.0,3.0,39.2,33.6
2014,AL,"Electric Generators, Independent Power Producers",All Sources,50.0,12.0,8037.4,7276.7
2014,AL,"Electric Generators, Independent Power Producers",Natural Gas,38.0,9.0,8022.4,7261.3
2014,AL,"Electric Generators, Independent Power Producers",Other Biomass,5.0,2.0,6.4,6.4
2014,AL,"Electric Generators, Independent Power Producers",Petroleum,7.0,1.0,8.6,9.0
2014,AL,Industrial Power,All Sources,37.0,17.0,858.5,788.0
2014,AL,Industrial Power,Natural Gas,12.0,6.0,175.1,168.0
2014,AL,Industrial Power,Other Gases,7.0,3.0,110.8,99.8
2014,AL,Industrial Power,Wood and Wood Derived Fuels,18.0,10.0,572.6,520.2
2014,AL,Total Electric Power Industry,All Sources,284.0,74.0,34495.4,31953.3
2014,AL,Total Electric Power Industry,Coal,33.0,9.0,11741.6,10746.4
2014,AL,Total Electric Power Industry,Hydroelectric,103.0,24.0,3319.3,3271.0
2014,AL,Total Electric Power Industry,Natural Gas,97.0,25.0,13329.8,12111.2
2014,AL,Total Electric Power Industry,Nuclear,5.0,2.0,5270.4,5066.4
2014,AL,Total Electric Power Industry,Other Biomass,5.0,2.0,6.4,6.4
2014,AL,Total Electric Power Industry,Other Gases,7.0,3.0,110.8,99.8
2014,AL,Total Electric Power Industry,Petroleum,14.0,4.0,47.8,42.6
2014,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,20.0,11.0,669.3,609.5
2014,AR,"Combined Heat and Power, Electric Power",All Sources,3.0,2.0,254.0,196.0
2014,AR,"Combined Heat and Power, Electric Power",Natural Gas,2.0,1.0,236.0,192.0
2014,AR,"Combined Heat and Power, Electric Power",Other Biomass,1.0,1.0,18.0,4.0
2014,AR,Commercial Power,All Sources,1.0,1.0,1.3,1.3
2014,AR,Commercial Power,Other Biomass,1.0,1.0,1.3,1.3
