Year,State,Sector,Price,Customers,Sales,Revenue,Use_per_Customer,Total_Summer_Capacity,IPP_Capacity,Utility_Capacity,Renewable_Capacity,IPP_Share,Renewable_Share,Fossil_Capacity,Fossil_Share
2014,AK,Commercial,17.09,51017,2761518,472078,54.12936864182527,9856.8,39.8,4625.6,120.0,0.008075643210778347,0.012174336498660824,3789.0,0.3844046749452155
2014,AK,Industrial,15.66,1287,1359680,212988,1056.4724164724164,9856.8,39.8,4625.6,120.0,0.008075643210778347,0.012174336498660824,3789.0,0.3844046749452155
2014,AK,Residential,19.14,281438,2043614,391068,7.261329315870636,9856.8,39.8,4625.6,120.0,0.008075643210778347,0.012174336498660824,3789.0,0.3844046749452155
2014,AK,Transportation,0.0,0,0,0,,9856.8,39.8,4625.6,120.0,0.008075643210778347,0.012174336498660824,3789.0,0.3844046749452155
2014,AL,Commercial,10.79,360901,22929309,2473586,63.53351473118667,127813.2,14553.4,46100.6,1219.0,0.22772921732653592,0.009537356079027831,45800.399999999994,0.3583385753584136
2014,AL,Industrial,6.15,7236,34634820,2130887,4786.459369817579,127813.2,14553.4,46100.6,1219.0,0.22772921732653592,0.009537356079027831,45800.399999999994,0.3583385753584136
2014,AL,Residential,11.48,2169790,32929598,3781917,15.17639863765618,127813.2,14553.4,46100.6,1219.0,0.22772921732653592,0.009537356079027831,45800.399999999994,0.3583385753584136
2014,AL,Transportation,0.0,0,0,0,,127813.2,14553.4,46100.6,1219.0,0.22772921732653592,0.009537356079027831,45800.399999999994,0.3583385753584136
2014,AR,Commercial,8.05,185842,11988033,964795,64.50658623992423,59014.4,5424.4,23052.6,588.6,0.18383309836243356,0.0099738368940462,22548.0,0.3820762390196291
2014,AR,Industrial,6.02,35685,16650718,1002428,466.60271822894777,59014.4,5424.4,23052.6,588.6,0.18383309836243356,0.0099738368940462,22548.0,0.3820762390196291
2014,AR,Residential,9.51,1345009,18441119,1753284,13.710777400002527,59014.4,5424.4,23052.6,588.6,0.18383309836243356,0.0099738368940462,22548.0,0.3820762390196291
2014,AR,Transportation,11.35,2,431,49,215.5,59014.4,5424.4,23052.6,588.6,0.18383309836243356,0.0099738368940462,22548.0,0.3820762390196291
2014,AZ,Commercial,10.13,312221,29289879,2967741,93.81136758898344,112995.6,13709.8,42622.4,3340.6,0.2426607761718155,0.02956398302234777,39388.8,0.3485870246275076
2014,AZ,Industrial,6.46,7710,14661727,947683,1901.6507133592736,112995.6,13709.8,42622.4,3340.6,0.2426607761718155,0.02956398302234777,39388.8,0.3485870246275076
2014,AZ,Residential,11.9,2661694,32346079,3848998,12.152440889148039,112995.6,13709.8,42622.4,3340.6,0.2426607761718155,0.02956398302234777,39388.8,0.3485870246275076
2014,AZ,Transportation,0.0,0,0,0,,112995.6,13709.8,42622.4,3340.6,0.2426607761718155,0.02956398302234777,39388.8,0.3485870246275076
2014,CA,Commercial,15.62,1676201,119494062,18663231,71.28862350040359,298584.8,79098.4,56401.2,28512.4,0.5298220137126873,0.09549179998446003,85681.59999999999,0.2869590146584823
2014,CA,Industrial,12.34,146944,52898430,6525678,359.99040450783974,298584.8,79098.4,56401.2,28512.4,0.5298220137126873,0.09549179998446003,85681.59999999999,0.2869590146584823
2014,CA,Residential,16.25,13256068,89360680,14517393,6.741115087822422,298584.8,79098.4,56401.2,28512.4,0.5298220137126873,0.09549179998446003,85681.59999999999,0.2869590146584823
2014,CA,Transportation,8.9,13,831614,74025,63970.307692307695,298584.8,79098.4,56401.2,28512.4,0.5298220137126873,0.09549179998446003,85681.59999999999,0.2869590146584823
2014,CO,Commercial,10.08,360237,20129360,2029053,55.878102471428534,59730.4,9155.8,20407.0,5364.400000000001,0.30657085839036735,0.08981021389443232,21972.399999999998,0.3678595823902066
2014,CO,Industrial,7.47,19234,15110188,1129370,785.5977955703441,59730.4,9155.8,20407.0,5364.400000000001,0.30657085839036735,0.08981021389443232,21972.399999999998,0.3678595823902066
2014,CO,Residential,12.18,2193520,18092932,2203838,8.248355155184361,59730.4,9155.8,20407.0,5364.400000000001,0.30657085839036735,0.08981021389443232,21972.399999999998,0.3678595823902066
2014,CO,Transportation,10.79,1,64041,6910,64041.0,59730.4,9155.8,20407.0,5364.400000000001,0.30657085839036735,0.08981021389443232,21972.399999999998,0.3678595823902066
2014,CT,Commercial,15.55,155372,12893531,2004629,82.98490719048478,35328.8,16695.2,321.6,95.0,0.9451325830483911,0.0026890242521682025,12625.6,0.35737415366499853
2014,CT,Industrial,12.92,4648,3514798,453957,756.1957831325301,35328.8,16695.2,321.6,95.0,0.9451325830483911,0.0026890242521682025,12625.6,0.35737415366499853
2014,CT,Residential,19.75,1459239,12777579,2523349,8.756330525705522,35328.8,16695.2,321.6,95.0,0.9451325830483911,0.0026890242521682025,12625.6,0.35737415366499853
2014,CT,Transportation,13.08,4,168552,22043,42138.0,35328.8,16695.2,321.6,95.0,0.9451325830483911,0.0026890242521682025,12625.6,0.35737415366499853
2014,DC,Commercial,12.19,26463,8548237,1042419,323.0259985640328,36.0,0.0,0.0,0.0,0.0,0.0,18.0,0.5
2014,DC,Industrial,8.41,1,242149,20367,242149.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,0.5
2014,DC,Residential,12.74,239355,2072205,263973,8.657454408723444,36.0,0.0,0.0,0.0,0.0,0.0,18.0,0.5
2014,DC,Transportation,8.8,1,330998,29119,330998.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,0.5
2014,DE,Commercial,10.5,52203,4197298,440657,80.40338677853764,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Industrial,8.58,862,2496338,214197,2895.983758700696,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Residential,13.29,407508,4644841,617400,11.398159054546168,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Transportation,0.0,0,0,0,,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
