Year,State Code,Fuel Source,Nameplate Capacity (Megawatts),renew_share,ipp_share,fossil_share,res_price,com_price,ind_price
2014,AK,Coal,113.5,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Hydroelectric,440.4,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Natural Gas,1233.1999999999998,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Other,70.0,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Other Biomass,11.5,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Petroleum,760.9,19.4,0.7,78.0,19.14,17.09,15.66
2014,AK,Wind,72.69999999999999,19.4,0.7,78.0,19.14,17.09,15.66
2014,AL,Coal,11741.6,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Hydroelectric,3319.3,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Natural Gas,13329.8,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Nuclear,5270.4,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Other Biomass,6.4,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Other Gases,110.8,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Petroleum,47.800000000000004,11.6,23.3,73.1,11.48,10.79,6.15
2014,AL,Wood and Wood Derived Fuels,669.3000000000001,11.6,23.3,73.1,11.48,10.79,6.15
2014,AR,Coal,5487.0,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Hydroelectric,1320.9,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Natural Gas,7286.3,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Nuclear,1845.0,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Other Biomass,28.1,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Petroleum,12.3,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Pumped Storage,28.0,10.4,19.4,78.2,9.51,8.05,6.02
2014,AR,Wood and Wood Derived Fuels,350.1,10.4,19.4,78.2,9.51,8.05,6.02
